"Story","Title","Result","Date","Stability","Duration (s)"
"Reproducir cancion en Spotify","Reproducir de cancion en spotify.","ERROR","2023-11-24T12:35:24.286-05:00[America/Bogota]","0.0","7.67"
"Reproducir cancion en Spotify","Reproducir de cancion en spotify.","FAILURE","2023-11-24T13:20:03.848-05:00[America/Bogota]","0.0","25.69"
"login en Spotify de manera exitoza.","Login exitoso.","ERROR","2023-11-24T09:17:30.083-05:00[America/Bogota]","0.0","6.8"
"login en Spotify de manera exitoza.","login exitoso.","ERROR","2023-11-24T13:27:56.1290587-05:00[America/Bogota]","0.0","3.41"
